model_id,outcome,outcome_label,spec_id,spec_label,include_pre_event_volatility,include_industry,topic_parameterization,formula,n_obs,status,r_squared,adj_r_squared,aic,bic,reason
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,complete,0.03866827958384744,0.01698410543912221,-1152.5000447011967,-1127.2337421349018,
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,complete,0.038716776595139835,0.013324389561803929,-1150.5138172812221,-1121.6380429197425,
CAR_-3_-1__topic_severity_industry,CAR_-3_-1,"CAR[-3,-1]",topic_severity_industry,Topic + severity + industry,False,True,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + C(industry)",273,complete,0.06588338939502536,0.00750110123221448,-1140.3401271567932,-1078.9791066386488,
CAR_-3_-1__topic_severity_pre_volatility_industry,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility_industry,Topic + severity + pre-volatility + industry,True,True,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility + C(industry)",273,complete,0.0663972182863285,0.004157032838750463,-1138.4903373986972,-1073.519845085368,
CAR_-1_3__topic_severity,CAR_-1_3,"CAR[-1,+3]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-1_3"") ~ 0 + C(topic) + severity_score",273,complete,0.008916119976285497,-0.013439155512971146,-1065.118714026161,-1039.852411459866,
CAR_-1_3__topic_severity_pre_volatility,CAR_-1_3,"CAR[-1,+3]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-1_3"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,complete,0.009483868503167625,-0.016680708555239177,-1063.275148575191,-1034.3993742137113,
CAR_-1_3__topic_severity_industry,CAR_-1_3,"CAR[-1,+3]",topic_severity_industry,Topic + severity + industry,False,True,no_intercept_all_topic_coefficients,"Q(""CAR_-1_3"") ~ 0 + C(topic) + severity_score + C(industry)",273,complete,0.03774233377651004,-0.022398770362458187,-1053.1768313950083,-991.815810876864,
CAR_-1_3__topic_severity_pre_volatility_industry,CAR_-1_3,"CAR[-1,+3]",topic_severity_pre_volatility_industry,Topic + severity + pre-volatility + industry,True,True,no_intercept_all_topic_coefficients,"Q(""CAR_-1_3"") ~ 0 + C(topic) + severity_score + pre_event_volatility + C(industry)",273,complete,0.03774276513813868,-0.026407717185985335,-1051.1769537756918,-986.2064614623625,
CAR_1_60__topic_severity,CAR_1_60,"CAR[+1,+60]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_1_60"") ~ 0 + C(topic) + severity_score",273,complete,0.029508871321055063,0.007618093982432295,-355.65742320971174,-330.391120643417,
CAR_1_60__topic_severity_pre_volatility,CAR_1_60,"CAR[+1,+60]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_1_60"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,complete,0.07101931486633317,0.0464802024288401,-365.5914309369099,-336.7156565754302,
CAR_1_60__topic_severity_industry,CAR_1_60,"CAR[+1,+60]",topic_severity_industry,Topic + severity + industry,False,True,no_intercept_all_topic_coefficients,"Q(""CAR_1_60"") ~ 0 + C(topic) + severity_score + C(industry)",273,complete,0.07944419206837228,0.02190945407264555,-350.0785485392274,-288.7175280210831,
CAR_1_60__topic_severity_pre_volatility_industry,CAR_1_60,"CAR[+1,+60]",topic_severity_pre_volatility_industry,Topic + severity + pre-volatility + industry,True,True,no_intercept_all_topic_coefficients,"Q(""CAR_1_60"") ~ 0 + C(topic) + severity_score + pre_event_volatility + C(industry)",273,complete,0.10512159544680622,0.04546303514326,-355.8016580615798,-290.83116574825056,
